name;flow;Hm
KSB  32-160 144;0,000493;38,04391
KSB  32-160 144;0,000494;38,04379
KSB  32-160 144;0,000495;38,04366
KSB  32-160 144;0,000496;38,04354
KSB  32-160 144;0,000497;38,04341
KSB  32-160 144;0,000498;38,04329
KSB  32-160 144;0,000499;38,04316
KSB  32-160 144;0,000500;38,04304
KSB  32-160 144;0,000501;38,04291
KSB  32-160 144;0,000502;38,04278
KSB  32-160 144;0,000503;38,04265
KSB  32-160 144;0,000504;38,04253
KSB  32-160 144;0,000505;38,0424
KSB  32-160 144;0,000506;38,04227
KSB  32-160 144;0,000507;38,04214
KSB  32-160 144;0,000508;38,04201
KSB  32-160 144;0,000509;38,04188
KSB  32-160 144;0,000510;38,04175
KSB  32-160 144;0,000511;38,04162
KSB  32-160 144;0,000512;38,04149
KSB  32-160 144;0,000513;38,04136
KSB  32-160 144;0,000514;38,04123
KSB  32-160 144;0,000515;38,0411
KSB  32-160 144;0,000516;38,04097
KSB  32-160 144;0,000517;38,04084
KSB  32-160 144;0,000518;38,0407
KSB  32-160 144;0,000519;38,04057
KSB  32-160 144;0,000520;38,04044
KSB  32-160 144;0,000521;38,0403
KSB  32-160 144;0,000522;38,04017
KSB  32-160 144;0,000523;38,04004
KSB  32-160 144;0,000524;38,0399
KSB  32-160 144;0,000525;38,03977
KSB  32-160 144;0,000526;38,03963
KSB  32-160 144;0,000527;38,0395
KSB  32-160 144;0,000528;38,03936
KSB  32-160 144;0,000529;38,03922
KSB  32-160 144;0,000530;38,03909
KSB  32-160 144;0,000531;38,03895
KSB  32-160 144;0,000532;38,03881
KSB  32-160 144;0,000533;38,03867
KSB  32-160 144;0,000534;38,03854
KSB  32-160 144;0,000535;38,0384
KSB  32-160 144;0,000536;38,03826
KSB  32-160 144;0,000537;38,03812
KSB  32-160 144;0,000538;38,03798
KSB  32-160 144;0,000539;38,03784
KSB  32-160 144;0,000540;38,0377
KSB  32-160 144;0,000541;38,03756
KSB  32-160 144;0,000542;38,03742
KSB  32-160 144;0,000543;38,03728
KSB  32-160 144;0,000544;38,03714
KSB  32-160 144;0,000545;38,037
KSB  32-160 144;0,000546;38,03686
KSB  32-160 144;0,000547;38,03671
KSB  32-160 144;0,000548;38,03657
KSB  32-160 144;0,000549;38,03643
KSB  32-160 144;0,000550;38,03628
KSB  32-160 144;0,000551;38,03614
KSB  32-160 144;0,000552;38,036
KSB  32-160 144;0,000553;38,03585
KSB  32-160 144;0,000554;38,03571
KSB  32-160 144;0,000555;38,03556
KSB  32-160 144;0,000556;38,03542
KSB  32-160 144;0,000557;38,03527
KSB  32-160 144;0,000558;38,03512
KSB  32-160 144;0,000559;38,03498
KSB  32-160 144;0,000560;38,03483
KSB  32-160 144;0,000561;38,03468
KSB  32-160 144;0,000562;38,03454
KSB  32-160 144;0,000563;38,03439
KSB  32-160 144;0,000564;38,03424
KSB  32-160 144;0,000565;38,03409
KSB  32-160 144;0,000566;38,03394
KSB  32-160 144;0,000567;38,03379
KSB  32-160 144;0,000568;38,03364
KSB  32-160 144;0,000569;38,03349
KSB  32-160 144;0,000570;38,03334
KSB  32-160 144;0,000571;38,03319
KSB  32-160 144;0,000572;38,03304
KSB  32-160 144;0,000573;38,03289
KSB  32-160 144;0,000574;38,03274
KSB  32-160 144;0,000575;38,03259
KSB  32-160 144;0,000576;38,03244
KSB  32-160 144;0,000577;38,03228
KSB  32-160 144;0,000578;38,03213
KSB  32-160 144;0,000579;38,03198
KSB  32-160 144;0,000580;38,03182
KSB  32-160 144;0,000581;38,03167
KSB  32-160 144;0,000582;38,03152
KSB  32-160 144;0,000583;38,03136
KSB  32-160 144;0,000584;38,03121
KSB  32-160 144;0,000585;38,03105
KSB  32-160 144;0,000586;38,0309
KSB  32-160 144;0,000587;38,03074
KSB  32-160 144;0,000588;38,03058
KSB  32-160 144;0,000589;38,03043
KSB  32-160 144;0,000590;38,03027
KSB  32-160 144;0,000591;38,03011
KSB  32-160 144;0,000592;38,02996
KSB  32-160 144;0,000593;38,0298
KSB  32-160 144;0,000594;38,02964
KSB  32-160 144;0,000595;38,02948
KSB  32-160 144;0,000596;38,02932
KSB  32-160 144;0,000597;38,02916
KSB  32-160 144;0,000598;38,029
KSB  32-160 144;0,000599;38,02884
KSB  32-160 144;0,000600;38,02868
KSB  32-160 144;0,000601;38,02852
KSB  32-160 144;0,000602;38,02836
KSB  32-160 144;0,000603;38,0282
KSB  32-160 144;0,000604;38,02804
KSB  32-160 144;0,000605;38,02787
KSB  32-160 144;0,000606;38,02771
KSB  32-160 144;0,000607;38,02755
KSB  32-160 144;0,000608;38,02739
KSB  32-160 144;0,000609;38,02722
